id,role,national team,club_2025,club_2024,club_2023,nationality
Max Alain Gradel,1,Côte d'Ivoire,NA,Amed SK,Gaziantep FK,Côte d'Ivoire
Andrew Robertson,1,Scotland,FC Liverpool,FC Liverpool,FC Liverpool,Scotland
Romelu Lukaku Bolingoli,1,Belgium,SSC Napoli,SSC Napoli,FC Chelsea,Belgium
Carlos Casemiro,1,Brazil,Manchester United ,Manchester United,Manchester United,Brazil
Danilo Luiz Da Silva,1,Brazil,Flamengo Rio de Janeiro,Juventus FC,Juventus FC,Brazil
Milan Borjan,1,Canada,Al-Riyadh SC,Al-Riyadh SC,Red Star Belgrade,Canada
Simon Kjär,1,Denmark,NA,NA,AC Milan,Denmark
İlkay Gündoğan,5,Germany,Galatasaray,Manchester City,FC Barcelona,Germany
Guillermo Ochoa,1,Mexico,AEL Limassol,Avs Futebol,US Salernitana 1919,Mexico
Romain Ghanem Saiss,1,Morocco,Al-Sadd SC,Al-Sadd SC,Al-Sadd SC,Morocco
Ahmed Musa,1,Nigeria,Kano Pillars,Kano Pillars,NA,Nigeria
Kepler Ferreira,1,Portugal,FC Porto,FC Porto,FC Porto,Portugal
Nicolae Stanciu,1,Romania,Genoa CFC,Damac FC,Damac FC,Romania
Georgi Dzhikiya,1,Russia,Antalyaspor,FC Khimki,Spartak Moscow,Russia
Dusan Tadic,1,Serbia,Al-Wahda,Fenerbahçe,Fenerbahçe,Serbia
Alvaro Morata Martin,1,Spain,Como 1907,AC Milan,Atlético de Madrid,Spain
Ali Abdi,1,Tunisia,OGC Nice,OGC Nice,SM Caen,Tunisia
Youssef Msakni,1,Tunisia,Esperance Tunis,Al-Arabi SC,Al-Arabi SC,Tunisia
Andriy Yarmolenko,1,Ukraine,Dynamo Kyiv,Dynamo Kyiv,Dynamo Kyiv,Ukraine
Christian Mate Pulisic,1,USA,AC Milan,AC Milan,AC Milan,USA
Tomas Rincon,1,Venezuela,Santos FC,Santos FC,Santos FC,Venezuela
Ehsan Hajisafi,1,IR Iran,Sepahan FC,AEK Athens,AEK Athens,IR Iran
Franck Kessié,1,Côte d'Ivoire,Al-Ahli SFC,Al-Ahli SFC,Al-Ahli SFC,Côte d'Ivoire
Vladimir Petkovic,2,Algeria,Algeria,Algeria,NA,Switzerland
Djamel Belmadi,2,Algeria,Al-Duhail SC,NA,Algeria,Algeria
Mohammed Rachid Belarbi,3,NA,NA,NA,NA,Algeria
Lionel Scaloni,2,Argentina,Argentina,Argentina,Argentina,Argentina
Julián Álvarez,4,Argentina,Atlético de Madrid,Atlético de Madrid,Manchester City,Argentina
Tony Popovic,2,Australia,Australia,Australia,Melbourne Victory,Australia
Vince Rugari,3,NA,NA,NA,NA,Australia
Simon Hill,3,NA,NA,NA,NA,Australia
Ralf Rangnick,2,Austria,Austria,Austria,Austria,Germany
Stefan Grüneis,3,NA,NA,NA,NA,Austria
Lackner Gerhard,3,NA,NA,NA,NA,Austria
Kevin De Bruyne,4,Belgium,SSC Napoli,Manchester City,Manchester City,Belgium
Rudi Garcia,2,Belgium,Belgium,NA,NA,France
Domenico Tedesco,2,Belgium,Fenerbahçe,Belgium,Belgium,Germany
Kristof Terreur,3,NA,NA,NA,NA,Belgium
Raphinha,4,Brazil,FC Barcelona,FC Barcelona,FC Barcelona,Brazil
Vinícius Jr,4,Brazil,Real Madrid,Real Madrid,Real Madrid,Brazil
Carlo Ancelotti,2,Brazil,Brazil,Real Madrid,Real Madrid,Italy
Dorival Silvestre Júnior,2,Brazil,Sport Club Corinthians Paulista,Brazil,São Paulo Futebol Clube,Brazil
Fernando Diniz,2,Brazil,Clube de Regatas Vasco da Gama,Cruzeiro Esporte Clube,Brazil,Brazil
Martín Fernandez,3,NA,NA,NA,NA,Brazil
Carlos Eduardo Mansur,3,NA,NA,NA,NA,Brazil
Jesse Marsch,2,Canada,Canada,Canada,NA,USA
Mauro Biello,2,Canada,Canada U23,Canada U23,Canada,Canada
Neil Davidson,3,NA,NA,NA,NA,Canada
Néstor Lorenzo,2,Colombia,Colombia,Colombia,Colombia,Argentina
Diego Rueda,3,NA,NA,NA,NA,Colombia
Marcelo Brozović,4,Croatia,Al-Nassr FC,Al-Nassr FC,Al-Nassr FC,Croatia
Zlatko Dalić,2,Croatia,Croatia,Croatia,Croatia,Croatia
Robert Matteoni,3,NA,NA,NA,NA,Croatia
Jaroslav Köstl,2,Czechia,Czechia,Czechia,SK Slavia Prague,Czechia
Ivan Hasek,2,Czechia,NA,Czechia,NA,Czechia
Jan Palička,3,NA,NA,NA,NA,Czechia
Jaroslav Silhavy,2,Czechia,Oman,Oman,Czechia,Czechia
Brian Riemer,2,Denmark,Denmark,Denmark,RSC Anderlecht,Denmark
Kasper Hjulmand,2,Denmark,Bayer Leverkusen,NA,Denmark,Denmark
Klaus Egelund,3,NA,NA,NA,NA,Denmark
Sebastián Beccacece,2,Ecuador,Ecuador,Ecuador,Elche FC,Argentina
Felix Sanchez Bas,2,Ecuador,NA,Al-Sadd SC,Ecuador,Spain
Tito Rosales Cox,3,NA,NA,NA,NA,Ecuador
Hossam Hassan,2,Egypt,Egypt,Egypt,Modern Future,Egypt
Rui Vitoria,2,Egypt,Panathinaikos FC,Panathinaikos FC,Egypt,Portugal
Hady Elmadany,3,NA,NA,NA,NA,Egypt
Cole Palmer,4,England,FC Chelsea,FC Chelsea,FC Chelsea,England
Jude Bellingham,4,England,Real Madrid,Real Madrid,Real Madrid,England
Declan Rice,4,England,FC Arsenal,FC Arsenal,FC Arsenal,England
Thomas Tuchel,2,England,England,NA,FC Bayern München,Germany
Lee Carsley,2,England,England U21,England,England U21,England
Gareth Southgate,2,England,NA,NA,England,England
John Cross,3,NA,NA,NA,NA,England
Toni Kroos,4,Germany,Real Madrid,Real Madrid,Real Madrid,Germany
Florian Wirtz,4,Germany,FC Liverpool,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Germany
Julian Nagelsmann,2,Germany,Germany,Germany,Germany,Germany
Georg Holzner,3,NA,NA,NA,NA,Germany
Ivan Jovanovic,2,Greece,Greece,Greece,Panathinaikos FC,Serbia
Gustavo Poyet,2,Greece,NA,Jeonbuk Hyundai,Greece,Uruguay
Nikolaos Kotsis,3,NA,NA,NA,NA,Greece
Marco Rossi,2,Hungary,Hungary,Hungary,Hungary,Italy
György Szöllösi,3,NA,NA,NA,NA,Hungary
Sébastien Desabre,2,Congo DR,Congo DR,Congo DR,Congo DR,France
Michel Tobo,3,NA,NA,NA,NA,Congo DR
Gennaro Gattuso,2,Italy,Italy,Hajduk Split,Marseille,Italy
Luciano Spalletti,2,Italy,Juventus FC,Italy,Italy,Italy
Pierluigi Pardo,3,NA,NA,NA,NA,Italy
Hajime Moriyasu,2,Japan,Japan,Japan,Japan,Japan
Hideo Tamaru,3,NA,NA,NA,NA,Japan
Javier Aguirre,2,Mexico,Mexico,Mexico,RCD Mallorca,Mexico
Jaime Arturo Lozano Espin,2,Mexico,NA,NA,Mexico,Mexico
Francisco Javier González,3,NA,NA,NA,NA,Mexico
Walid Regragui,2,Morocco,Morocco,Morocco,Morocco,Morocco
Jalal Bouzrara,3,NA,NA,NA,NA,Morocco
Jalal Bounouar,3,NA,NA,NA,NA,Morocco
Ronald Koeman,2,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Jaap De Groot,3,NA,NA,NA,NA,Netherlands
Victor Osimhen,4,Nigeria,Galatasaray,Galatasaray,SSC Neapel,Nigeria
Jose Vitor Dos Santos Peseiro,2,Nigeria,Al-Ula,NA,Nigeria,Portugal
Augustine Owen Eguavoen,2,Nigeria,NA,Nigeria,NA,Nigeria
Oluwashina Okeleji,3,NA,NA,NA,NA,Nigeria
Erling Haaland,4,Norway,Manchester City,Manchester City,Manchester City,Norway
Ståle Solbakken,2,Norway,Norway,Norway,Norway,Norway
Morten Pedersen,3,NA,NA,NA,NA,Norway
Thomas Christiansen,2,Panama,Panama,Panama,Panama,Spain
David Samudio Garay,3,NA,NA,NA,NA,Panama
Gustavo Alfaro,2,Paraguay,Paraguay,Paraguay,Costa Rica,Argentina
Daniel Garnero,2,Paraguay,U. Católica,NA,Paraguay,Argentina
Edgar Cantero,3,NA,NA,NA,NA,Paraguay
Michał Probierz,2,Poland,NA,Poland,Poland,Poland
Michal Pol,3,NA,NA,NA,NA,Poland
Jan Urban,2,Poland,Poland,Górnik Zabrze,Górnik Zabrze,Poland
Vitinha,4,Portugal,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Portugal
Nuno Mendes,4,Portugal,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Portugal
Roberto Martinez,2,Portugal,Portugal,Portugal,Portugal,Spain
Vítor Serpa,3,NA,NA,NA,NA,Paris Saint-Germain
Mircea Lucescu,2,Romania,Romania,Romania,Dynamo Kyiv,Romania
Edward Marius Iordanescu,2,Romania,Legia Warszawa,NA,Romania,Romania
Theodor Jumatate,3,NA,NA,NA,NA,Romania
Valeri Karpin,2,Russia,Russia,Russia,Russia,Russia
Oleg Koshelev,3,NA,NA,NA,NA,Russia
Pape Bouna Thiaw,2,Senegal,Senegal,Senegal,NA,Senegal
Aliou Cissé,2,Senegal,Lybia,NA,Senegal,Senegal
Thierno Souleymane Diallo,3,NA,NA,NA,NA,Senegal
Veljko Paunovic,2,Serbia,Serbia,Real Oviedo,Tigres UANL,Serbia
Dragan Stojkovic,2,Serbia,NA,Serbia,Serbia,Serbia
Milan Rasevic,3,NA,NA,NA,NA,Serbia
Francesco Calzona,2,Slovakia,Slovakia,Slovakia,Slovakia,Italy
Michal Zeman,3,NA,NA,NA,NA,Slovakia
Lamine Yamal,4,Spain,FC Barcelona,FC Barcelona,FC Barcelona,Spain
Pedri,4,Spain,FC Barcelona,FC Barcelona,FC Barcelona,Spain
Rodri,4,Spain,Manchester City,Manchester City,Manchester City,Spain
Dani Carvajal,4,Spain,Real Madrid,Real Madrid,Real Madrid,Spain
Luis De La Fuente Castillo,2,Spain,Spain,Spain,Spain,Spain
Juan Ignacio Gallardo,3,NA,NA,NA,NA,Spain
Graham Potter,2,Sweden,Sweden,West Ham United,FC Chelsea,England
Jon Dahl Tomasson,2,Sweden,NA,Sweden,Blackburn Rovers,Denmark
Jan Andersson,2,Sweden,NA,NA,Sweden,Sweden
Simon Bank,3,NA,NA,NA,NA,Sweden
Murat Yakin,2,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
Tobias Wedermann,3,NA,NA,NA,NA,Switzerland
Trabelsi Sami,2,Tunisia,Tunisia,NA,NA,Tunisia
Yaakoubi Kays,2,Tunisia,Al-Safa,Tunisia,NA,Tunisia
Tarek Ghdiri,3,NA,NA,NA,NA,Tunisia
Vincenzo Montella,2,Türkiye,Türkiye,Türkiye,Türkiye,Italy
Serkan Saydam,3,NA,NA,NA,NA,Türkiye
Mehmet Arslan,3,NA,NA,NA,NA,Türkiye
Serhii Rebrov,2,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
Valerii Novobranets,3,NA,NA,NA,NA,Ukraine
Federico Valverde,4,Uruguay,Real Madrid,Real Madrid,Real Madrid,Uruguay
Marcelo Bielsa,2,Uruguay,Uruguay,Uruguay,Uruguay,Argentina
Rómulo Martínez Chenlo,3,NA,NA,NA,NA,Uruguay
Mauricio Pochettino,2,USA,USA,USA,FC Chelsea,Argentina
Douglas Mcintyre,3,NA,NA,NA,NA,USA
Gregg Berhalter,2,USA,Chicago Fire FC,Chicago Fire FC,USA,USA
Oswaldo Vizcarrondo,2,Venezuela,Venezuela,NA,NA,Venezuela
Humberto Perozo Suárez,3,NA,NA,NA,NA,Venezuela
Fernando Batista,2,Venezuela,Costa Rica,Venezuela,Venezuela,Argentina
Craig Bellamy,2,Wales,Wales,Burnley FC,Burnley FC,Wales
Robert Page,2,Wales,NA,NA,Wales,Wales
Paul Abbandonato,3,NA,NA,NA,NA,Wales
Martin Felix Ndtoungou Mpile,2,Cameroon,Cameroon,Cameroon,NA,Cameroon
Angu Lesley Ngwa Akonwi,3,NA,NA,NA,NA,Cameroon
Rigobert Song Bahanag,2,Cameroon,Central Africa,NA,Cameroon,Cameroon
Ousmane Dembélé,4,France,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,France
Didier Deschamps,2,France,France,France,France,France
Cyrille De La Morinerie,3,NA,NA,NA,NA,France
Ardeshir Ghalehnoy,2,IR Iran,IR Iran,IR Iran,IR Iran,IR Iran
Masoud Hossein,3,NA,NA,NA,NA,IR Iran
Myung Bo Hong,2,Korea Republic,Korea Republic,Korea Republic,Ulsan HD FC,Korea Republic
Juergen Klinsmann,2,Korea Republic,NA,NA,Korea Republic,Germany
Gun Lee,3,NA,NA,NA,NA,Korea Republic
Emerse Fae,2,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,NA,Côte d'Ivoire
Malick Traoré,3,NA,NA,NA,NA,Côte d'Ivoire
Magloire Gnae Oulidehi,3,NA,NA,NA,NA,Côte d'Ivoire
Jean Louis Gasset,2,Cote d'Ivoire,Montpellier,Olympique Marseille,Cote d'Ivoire,France
Steve Clarke,2,Scotland,Scotland,Scotland,Scotland,Scotland
Scott Mcdermott,3,NA,NA,NA,NA,Scotland
Graham Arnold,2,Australia,Iraq,Iraq,Australia,Australia
