id,role,national team,club_2025,club_2024,club_2023,nationality,continent
Bernardo Silva,5,Portugal,Manchester City,Manchester City,Manchester City,Portugal,Europe
Ianis Hagi,1,Romania,Alanyaspor,Rangers FC,Deportivo Alaves,Romania,Europe
Aleksandr Golovin,1,Russia,AS Monaco,AS Monaco,AS Monaco,Russia,Asia
Kalidou Koulibaly,1,Senegal,Al-Hilal SFC,Al-Hilal SFC,Al-Hilal SFC,Senegal,Africa
Aleksandar Mitrovic,1,Serbia,Al-Rayyan SC,Al-Hilal SFC,FC Fulham,Serbia,Europe
Milan Škriniar,1,Slovakia,Fenerbahce,Paris Saint-Germain,Paris Saint-Germain,Slovakia,Europe
Unai Simon Mendibil,1,Spain,Athletic Bilbao,Athletic Bilbao,Athletic Bilbao,Spain,Europe
Victor Lindelof,1,Sweden,Aston Villa,Manchester United,Manchester United,Sweden,Europe
Granit Xhaka,1,Switzerland,AFC Sunderland,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Switzerland,Europe
Ferjani Sassi,1,Tunisia,Al-Gharafa SC,Al-Gharafa SC,Al-Gharafa SC,Tunisia,Africa
Hakan Calhanoglu,1,Türkiye,Inter Mailand,Inter Mailand,Inter Mailand,Türkiye,Europe
Mykola Matvienko,1,Ukraine,Shakhtar Donetsk,Shakhtar Donetsk,Shakhtar Donetsk,Ukraine,Europe
Jose Gimenez,1,Uruguay,Atlético Madrid,Atlético Madrid,Atlético Madrid,Uruguay,South America
Tim Ream,1,USA,Charlotte FC,FC Fulham,FC Fulham,USA,North America
Salomón Rondón,1,Venezuela,Real Oviedo,CF Pachuca,CA River Plate,Venezuela,South America
Aaron Ramsey,1,Wales,UNAM Pumas,Cardiff City,Cardiff City,Wales,Europe
Vincent Aboubakar,1,Cameroon,Neftchi PFK,Hatayspor,Besiktas JK,Cameroon,Africa
Kylian Mbappé,5,France,Real Madrid,Real Madrid,Paris Saint-Germain,France,Europe
Alireza Jahanbakhsh,1,IR Iran,FCV Dender EH,SC Heerenveen,Feyernoord Rotterdam,IR Iran,Asia
Heung Min Son,1,Korea Republic,LAFC,Tottenham Hotspur,Tottenham Hotspur,Korea Republic,Asia
Max Alain Gradel,1,Côte d'Ivoire,NA,Amed SK,Gaziantep FK,Côte d'Ivoire,Africa
Andrew Robertson,1,Scotland,FC Liverpool,FC Liverpool,FC Liverpool,Scotland,Europe
Romelu Lukaku Bolingoli,1,Belgium,SSC Napoli,SSC Napoli,FC Chelsea,Belgium,Europe
Carlos Casemiro,1,Brazil,Manchester United ,Manchester United,Manchester United,Brazil,South America
Danilo Luiz Da Silva,1,Brazil,Flamengo Rio de Janeiro,Juventus FC,Juventus FC,Brazil,South America
Milan Borjan,1,Canada,Al-Riyadh SC,Al-Riyadh SC,Red Star Belgrade,Canada,North America
Simon Kjär,1,Denmark,NA,NA,AC Milan,Denmark,Europe
İlkay Gündoğan,5,Germany,Galatasaray,Manchester City,FC Barcelona,Germany,Europe
Guillermo Ochoa,1,Mexico,AEL Limassol,Avs Futebol,US Salernitana 1919,Mexico,North America
Romain Ghanem Saiss,1,Morocco,Al-Sadd SC,Al-Sadd SC,Al-Sadd SC,Morocco,Africa
Ahmed Musa,1,Nigeria,Kano Pillars,Kano Pillars,NA,Nigeria,Africa
Kepler Ferreira,1,Portugal,FC Porto,FC Porto,FC Porto,Portugal,Europe
Nicolae Stanciu,1,Romania,Genoa CFC,Damac FC,Damac FC,Romania,Europe
Georgi Dzhikiya,1,Russia,Antalyaspor,FC Khimki,Spartak Moscow,Russia,Asia
Dusan Tadic,1,Serbia,Al-Wahda,Fenerbahçe,Fenerbahçe,Serbia,Europe
Alvaro Morata Martin,1,Spain,Como 1907,AC Milan,Atlético de Madrid,Spain,Europe
Ali Abdi,1,Tunisia,OGC Nice,OGC Nice,SM Caen,Tunisia,Africa
Youssef Msakni,1,Tunisia,Esperance Tunis,Al-Arabi SC,Al-Arabi SC,Tunisia,Africa
Andriy Yarmolenko,1,Ukraine,Dynamo Kyiv,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Europe
Christian Mate Pulisic,1,USA,AC Milan,AC Milan,AC Milan,USA,North America
Tomas Rincon,1,Venezuela,Santos FC,Santos FC,Santos FC,Venezuela,South America
Ehsan Hajisafi,1,IR Iran,Sepahan FC,AEK Athens,AEK Athens,IR Iran,Asia
Franck Kessié,1,Côte d'Ivoire,Al-Ahli SFC,Al-Ahli SFC,Al-Ahli SFC,Côte d'Ivoire,Africa
Vladimir Petkovic,2,Algeria,Algeria,Algeria,NA,Switzerland,Europe
Djamel Belmadi,2,Algeria,Al-Duhail SC,NA,Algeria,Algeria,Africa
Mohammed Rachid Belarbi,3,NA,NA,NA,NA,Algeria,Africa
Lionel Scaloni,2,Argentina,Argentina,Argentina,Argentina,Argentina,South America
Julián Álvarez,4,Argentina,Atlético de Madrid,Atlético de Madrid,Manchester City,Argentina,South America
Tony Popovic,2,Australia,Australia,Australia,Melbourne Victory,Australia,Australia
Vince Rugari,3,NA,NA,NA,NA,Australia,Australia
Simon Hill,3,NA,NA,NA,NA,Australia,Australia
Ralf Rangnick,2,Austria,Austria,Austria,Austria,Germany,Europe
Stefan Grüneis,3,NA,NA,NA,NA,Austria,Europe
Lackner Gerhard,3,NA,NA,NA,NA,Austria,Europe
Kevin De Bruyne,4,Belgium,SSC Napoli,Manchester City,Manchester City,Belgium,Europe
Rudi Garcia,2,Belgium,Belgium,NA,NA,France,Europe
Domenico Tedesco,2,Belgium,Fenerbahçe,Belgium,Belgium,Germany,Europe
Kristof Terreur,3,NA,NA,NA,NA,Belgium,Europe
Raphinha,4,Brazil,FC Barcelona,FC Barcelona,FC Barcelona,Brazil,South America
Vinícius Jr,4,Brazil,Real Madrid,Real Madrid,Real Madrid,Brazil,South America
Carlo Ancelotti,2,Brazil,Brazil,Real Madrid,Real Madrid,Italy,Europe
Dorival Silvestre Júnior,2,Brazil,Sport Club Corinthians Paulista,Brazil,São Paulo Futebol Clube,Brazil,South America
Fernando Diniz,2,Brazil,Clube de Regatas Vasco da Gama,Cruzeiro Esporte Clube,Brazil,Brazil,South America
Martín Fernandez,3,NA,NA,NA,NA,Brazil,South America
Carlos Eduardo Mansur,3,NA,NA,NA,NA,Brazil,South America
Jesse Marsch,2,Canada,Canada,Canada,NA,USA,North America
Mauro Biello,2,Canada,Canada U23,Canada U23,Canada,Canada,North America
Neil Davidson,3,NA,NA,NA,NA,Canada,North America
Néstor Lorenzo,2,Colombia,Colombia,Colombia,Colombia,Argentina,South America
Diego Rueda,3,NA,NA,NA,NA,Colombia,South America
Marcelo Brozović,4,Croatia,Al-Nassr FC,Al-Nassr FC,Al-Nassr FC,Croatia,Europe
Zlatko Dalić,2,Croatia,Croatia,Croatia,Croatia,Croatia,Europe
Robert Matteoni,3,NA,NA,NA,NA,Croatia,Europe
Jaroslav Köstl,2,Czechia,Czechia,Czechia,SK Slavia Prague,Czechia,Europe
Ivan Hasek,2,Czechia,NA,Czechia,NA,Czechia,Europe
Jan Palička,3,NA,NA,NA,NA,Czechia,Europe
Jaroslav Silhavy,2,Czechia,Oman,Oman,Czechia,Czechia,Europe
Brian Riemer,2,Denmark,Denmark,Denmark,RSC Anderlecht,Denmark,Europe
Kasper Hjulmand,2,Denmark,Bayer Leverkusen,NA,Denmark,Denmark,Europe
Klaus Egelund,3,NA,NA,NA,NA,Denmark,Europe
Sebastián Beccacece,2,Ecuador,Ecuador,Ecuador,Elche FC,Argentina,South America
Felix Sanchez Bas,2,Ecuador,NA,Al-Sadd SC,Ecuador,Spain,Europe
Tito Rosales Cox,3,NA,NA,NA,NA,Ecuador,South America
Hossam Hassan,2,Egypt,Egypt,Egypt,Modern Future,Egypt,Africa
Rui Vitoria,2,Egypt,Panathinaikos FC,Panathinaikos FC,Egypt,Portugal,Europe
Hady Elmadany,3,NA,NA,NA,NA,Egypt,Africa
Cole Palmer,4,England,FC Chelsea,FC Chelsea,FC Chelsea,England,Europe
Jude Bellingham,4,England,Real Madrid,Real Madrid,Real Madrid,England,Europe
Declan Rice,4,England,FC Arsenal,FC Arsenal,FC Arsenal,England,Europe
Thomas Tuchel,2,England,England,NA,FC Bayern München,Germany,Europe
Lee Carsley,2,England,England U21,England,England U21,England,Europe
Gareth Southgate,2,England,NA,NA,England,England,Europe
John Cross,3,NA,NA,NA,NA,England,Europe
Toni Kroos,4,Germany,Real Madrid,Real Madrid,Real Madrid,Germany,Europe
Florian Wirtz,4,Germany,FC Liverpool,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Germany,Europe
Julian Nagelsmann,2,Germany,Germany,Germany,Germany,Germany,Europe
Georg Holzner,3,NA,NA,NA,NA,Germany,Europe
Ivan Jovanovic,2,Greece,Greece,Greece,Panathinaikos FC,Serbia,Europe
Gustavo Poyet,2,Greece,NA,Jeonbuk Hyundai,Greece,Uruguay,South America
Nikolaos Kotsis,3,NA,NA,NA,NA,Greece,Europe
Marco Rossi,2,Hungary,Hungary,Hungary,Hungary,Italy,Europe
György Szöllösi,3,NA,NA,NA,NA,Hungary,Europe
Sébastien Desabre,2,Congo DR,Congo DR,Congo DR,Congo DR,France,Europe
Michel Tobo,3,NA,NA,NA,NA,Congo DR,Africa
Gennaro Gattuso,2,Italy,Italy,Hajduk Split,Marseille,Italy,Europe
Luciano Spalletti,2,Italy,Juventus FC,Italy,Italy,Italy,Europe
Pierluigi Pardo,3,NA,NA,NA,NA,Italy,Europe
Hajime Moriyasu,2,Japan,Japan,Japan,Japan,Japan,Asia
Hideo Tamaru,3,NA,NA,NA,NA,Japan,Asia
Javier Aguirre,2,Mexico,Mexico,Mexico,RCD Mallorca,Mexico,North America
Jaime Arturo Lozano Espin,2,Mexico,NA,NA,Mexico,Mexico,North America
Francisco Javier González,3,NA,NA,NA,NA,Mexico,North America
Walid Regragui,2,Morocco,Morocco,Morocco,Morocco,Morocco,Africa
Jalal Bouzrara,3,NA,NA,NA,NA,Morocco,Africa
Jalal Bounouar,3,NA,NA,NA,NA,Morocco,Africa
Ronald Koeman,2,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Europe
Jaap De Groot,3,NA,NA,NA,NA,Netherlands,Europe
Victor Osimhen,4,Nigeria,Galatasaray,Galatasaray,SSC Neapel,Nigeria,Africa
Jose Vitor Dos Santos Peseiro,2,Nigeria,Al-Ula,NA,Nigeria,Portugal,Europe
Augustine Owen Eguavoen,2,Nigeria,NA,Nigeria,NA,Nigeria,Africa
Oluwashina Okeleji,3,NA,NA,NA,NA,Nigeria,Africa
Erling Haaland,4,Norway,Manchester City,Manchester City,Manchester City,Norway,Europe
Ståle Solbakken,2,Norway,Norway,Norway,Norway,Norway,Europe
Morten Pedersen,3,NA,NA,NA,NA,Norway,Europe
Thomas Christiansen,2,Panama,Panama,Panama,Panama,Spain,Europe
David Samudio Garay,3,NA,NA,NA,NA,Panama,South America
Gustavo Alfaro,2,Paraguay,Paraguay,Paraguay,Costa Rica,Argentina,South America
Daniel Garnero,2,Paraguay,U. Católica,NA,Paraguay,Argentina,South America
Edgar Cantero,3,NA,NA,NA,NA,Paraguay,South America
Michał Probierz,2,Poland,NA,Poland,Poland,Poland,Europe
Michal Pol,3,NA,NA,NA,NA,Poland,Europe
Jan Urban,2,Poland,Poland,Górnik Zabrze,Górnik Zabrze,Poland,Europe
Vitinha,4,Portugal,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Portugal,Europe
Nuno Mendes,4,Portugal,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Portugal,Europe
Roberto Martinez,2,Portugal,Portugal,Portugal,Portugal,Spain,Europe
Vítor Serpa,3,NA,NA,NA,NA,Portugal,Europe
Mircea Lucescu,2,Romania,Romania,Romania,Dynamo Kyiv,Romania,Europe
Edward Marius Iordanescu,2,Romania,Legia Warszawa,NA,Romania,Romania,Europe
Theodor Jumatate,3,NA,NA,NA,NA,Romania,Europe
Valeri Karpin,2,Russia,Russia,Russia,Russia,Russia,Asia
Oleg Koshelev,3,NA,NA,NA,NA,Russia,Asia
Pape Bouna Thiaw,2,Senegal,Senegal,Senegal,NA,Senegal,Africa
Aliou Cissé,2,Senegal,Lybia,NA,Senegal,Senegal,Africa
Thierno Souleymane Diallo,3,NA,NA,NA,NA,Senegal,Africa
Veljko Paunovic,2,Serbia,Serbia,Real Oviedo,Tigres UANL,Serbia,Europe
Dragan Stojkovic,2,Serbia,NA,Serbia,Serbia,Serbia,Europe
Milan Rasevic,3,NA,NA,NA,NA,Serbia,Europe
Francesco Calzona,2,Slovakia,Slovakia,Slovakia,Slovakia,Italy,Europe
Michal Zeman,3,NA,NA,NA,NA,Slovakia,Europe
Lamine Yamal,4,Spain,FC Barcelona,FC Barcelona,FC Barcelona,Spain,Europe
Pedri,4,Spain,FC Barcelona,FC Barcelona,FC Barcelona,Spain,Europe
Rodri,4,Spain,Manchester City,Manchester City,Manchester City,Spain,Europe
Dani Carvajal,4,Spain,Real Madrid,Real Madrid,Real Madrid,Spain,Europe
Luis De La Fuente Castillo,2,Spain,Spain,Spain,Spain,Spain,Europe
Juan Ignacio Gallardo,3,NA,NA,NA,NA,Spain,Europe
Graham Potter,2,Sweden,Sweden,West Ham United,FC Chelsea,England,Europe
Jon Dahl Tomasson,2,Sweden,NA,Sweden,Blackburn Rovers,Denmark,Europe
Jan Andersson,2,Sweden,NA,NA,Sweden,Sweden,Europe
Simon Bank,3,NA,NA,NA,NA,Sweden,Europe
Murat Yakin,2,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Europe
Tobias Wedermann,3,NA,NA,NA,NA,Switzerland,Europe
Trabelsi Sami,2,Tunisia,Tunisia,NA,NA,Tunisia,Africa
Yaakoubi Kays,2,Tunisia,Al-Safa,Tunisia,NA,Tunisia,Africa
Tarek Ghdiri,3,NA,NA,NA,NA,Tunisia,Africa
Vincenzo Montella,2,Türkiye,Türkiye,Türkiye,Türkiye,Italy,Europe
Serkan Saydam,3,NA,NA,NA,NA,Türkiye,Europe
Mehmet Arslan,3,NA,NA,NA,NA,Türkiye,Europe
Serhii Rebrov,2,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Europe
Valerii Novobranets,3,NA,NA,NA,NA,Ukraine,Europe
Federico Valverde,4,Uruguay,Real Madrid,Real Madrid,Real Madrid,Uruguay,South America
Marcelo Bielsa,2,Uruguay,Uruguay,Uruguay,Uruguay,Argentina,South America
Rómulo Martínez Chenlo,3,NA,NA,NA,NA,Uruguay,South America
Mauricio Pochettino,2,USA,USA,USA,FC Chelsea,Argentina,South America
Douglas Mcintyre,3,NA,NA,NA,NA,USA,North America
Gregg Berhalter,2,USA,Chicago Fire FC,Chicago Fire FC,USA,USA,North America
Oswaldo Vizcarrondo,2,Venezuela,Venezuela,NA,NA,Venezuela,South America
Humberto Perozo Suárez,3,NA,NA,NA,NA,Venezuela,South America
Fernando Batista,2,Venezuela,Costa Rica,Venezuela,Venezuela,Argentina,South America
Craig Bellamy,2,Wales,Wales,Burnley FC,Burnley FC,Wales,Europe
Robert Page,2,Wales,NA,NA,Wales,Wales,Europe
Paul Abbandonato,3,NA,NA,NA,NA,Wales,Europe
Martin Felix Ndtoungou Mpile,2,Cameroon,Cameroon,Cameroon,NA,Cameroon,Africa
Angu Lesley Ngwa Akonwi,3,NA,NA,NA,NA,Cameroon,Africa
Rigobert Song Bahanag,2,Cameroon,Central Africa,NA,Cameroon,Cameroon,Africa
Ousmane Dembélé,4,France,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,France,Europe
Didier Deschamps,2,France,France,France,France,France,Europe
Cyrille De La Morinerie,3,NA,NA,NA,NA,France,Europe
Ardeshir Ghalehnoy,2,IR Iran,IR Iran,IR Iran,IR Iran,IR Iran,Asia
Masoud Hossein,3,NA,NA,NA,NA,IR Iran,Asia
Myung Bo Hong,2,Korea Republic,Korea Republic,Korea Republic,Ulsan HD FC,Korea Republic,Asia
Juergen Klinsmann,2,Korea Republic,NA,NA,Korea Republic,Germany,Europe
Gun Lee,3,NA,NA,NA,NA,Korea Republic,Asia
Emerse Fae,2,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,NA,Côte d'Ivoire,Africa
Malick Traoré,3,NA,NA,NA,NA,Côte d'Ivoire,Africa
Magloire Gnae Oulidehi,3,NA,NA,NA,NA,Côte d'Ivoire,Africa
Jean Louis Gasset,2,Cote d'Ivoire,Montpellier,Olympique Marseille,Cote d'Ivoire,France,Europe
Steve Clarke,2,Scotland,Scotland,Scotland,Scotland,Scotland,Europe
Scott Mcdermott,3,NA,NA,NA,NA,Scotland,Europe
Graham Arnold,2,Australia,Iraq,Iraq,Australia,Australia,Australia
Claudio Mauri,3,NA,NA,NA,NA,Argentina,South America
Radamel Falcao Garcia Zarate,1,Colombia,Millonarios FC,Millonarios FC,Rayo Vallecano,Colombia,South America
Khvicha Kvaratskhelia,4,Georgia,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Georgia,Asia
Jalel Kadri,2,Tunisia,NA,NA,Tunisia,Tunisia,Africa
Hoalid Regragui,2,Marocco,Marocco,NA,NA,Marocco,Africa
